score,time_played,distance,coins_collected,collisions,level_reached
7229,58,0.187,103,3,1
639,13,0.066,19,2,1
105244,378,2.339,1204,9,1
628,13,0.037,16,2,1
13984,90,0.364,256,5,1
16,0,0.003,0,0,1
1744,31,0.088,43,3,1
9642,96,0.495,258,4,1
30786,203,0.973,528,4,1
2583,23,0.066,40,2,1
165,8,0.024,6,2,1
2614,39,0.135,70,3,1
64699,231,1.46,722,3,1
4580,39,0.123,73,2,1
12527,90,0.353,199,3,1
486,5,0.016,12,2,1
8241,70,0.276,166,3,1
34593,230,1.142,549,6,1
107,7,0.019,4,2,1
10103,125,0.539,228,3,1
